,ESA_cell_season,Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Depth,Burial,Recovery,Days,Season,Final,Label,Tea_init,Tea_final,Loss,Treatment,Contributor,Soil.moisture,Additional.information,latlon,Loss_Day,Plot_unique,TBI_S,TBI_k,soiltemp_mean,soiltemp_GDD5,soiltemp_source,airtemp_mean,airtemp_GDD5,airtemp_source,moisture_mean,moisture_mean_source,CHELSA_year_temp,CHELSA_summer_temp,CHELSA_winter_temp,CHELSA_year_precip,CHELSA_summer_precip,CHELSA_winter_precip,ESA_moisture,ESA_moisture_winter,ESA_moisture_year,ESA_cell,is.region,is.site,is.plot,is.site.plot,airtemp_mean_var_level,soiltemp_mean_var_level,moisture_mean_var_level,CHELSA_summer_temp_var_level,CHELSA_summer_precip_var_level,ESA_moisture_var_level
719,120324_Year,Fin_R715,Rooibos,Finland,FIN_1069,FIN_1069_Year,69.06562566,20.83056535,698,2.213,8,03-08-16,24-08-17,386,Year,1.52489,No,1.854,1.52489,0.177513484,None,Anna-Maria Virkkala,NA,,69.06562566_20.83056535,0.000459879,FIN_1069_Year_Year,0.310286609,0.001617859,NA,0,Temp_logger,1.546736937,1041.898333,Temp_logger,29.96,Moisture Probe,-2.2,10,-13.3,48.8,17.6,11.4,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
720,120324_Year,Fin_G645,Green,Finland,FIN_355,FIN_355_Year,69.06748363,20.807332,625,2.02,8,12-08-16,26-08-17,379,Year,0.89972,No,1.704,0.89972,0.471995305,None,Anna-Maria Virkkala,NA,,69.06748363_20.807332,0.00124537,FIN_355_Year_Year,0.483923341,0.001611422,NA,0,Temp_logger,6.797169811,305.5,Temp_logger,50.24,Moisture Probe,-1.9,10.3,-13,48.6,17.1,11.6,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
721,120324_Year,Fin_G646,Green,Finland,FIN_355,FIN_355_Year,69.06748363,20.807332,625,2.017,8,12-08-16,26-08-17,379,Year,0.75651,No,1.701,0.75651,0.555255732,None,Anna-Maria Virkkala,NA,,69.06748363_20.807332,0.001465055,FIN_355_Year_Year,0.483923341,0.001611422,NA,0,Temp_logger,6.797169811,305.5,Temp_logger,50.24,Moisture Probe,-1.9,10.3,-13,48.6,17.1,11.6,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
722,120324_Year,Fin_G687,Green,Finland,FIN_355,FIN_355_Year,69.06748363,20.807332,625,2.075,8,12-08-16,28-06-17,320,Year,1.132,No,1.757,1.132,0.355719977,None,Anna-Maria Virkkala,NA,,69.06748363_20.807332,0.001111625,FIN_355_Year_Year,0.483923341,0.001611422,NA,0,Temp_logger,6.797169811,305.5,Temp_logger,50.24,Moisture Probe,-1.9,10.3,-13,48.6,17.1,11.6,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
723,120324_Year,Fin_R445,Rooibos,Finland,FIN_403,FIN_403_Year,69.05335612,20.81401386,784,2.29,8,03-08-16,19-06-17,320,Year,1.619,No,1.927,1.619,0.159833939,None,Anna-Maria Virkkala,NA,,69.05335612_20.81401386,0.000499481,FIN_403_Year_Year,0.336485158,0.001791877,NA,0,Temp_logger,1.132173315,976.12475,Temp_logger,18.74,Moisture Probe,-1.7,10.5,-12.9,47.2,16.8,11.2,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
724,120324_Year,Fin_R453,Rooibos,Finland,FIN_403,FIN_403_Year,69.05335612,20.81401386,784,2.28,8,03-08-16,21-08-17,383,Year,1.55978,No,1.917,1.55978,0.186343245,None,Anna-Maria Virkkala,NA,,69.05335612_20.81401386,0.000486536,FIN_403_Year_Year,0.336485158,0.001791877,NA,0,Temp_logger,1.132173315,976.12475,Temp_logger,18.74,Moisture Probe,-1.7,10.5,-12.9,47.2,16.8,11.2,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
725,120324_Year,Fin_G291,Green,Finland,FIN_403,FIN_403_Year,69.05335612,20.81401386,784,2.036,8,03-08-16,19-06-17,320,Year,0.9,No,1.719,0.9,0.476439791,None,Anna-Maria Virkkala,NA,,69.05335612_20.81401386,0.001488874,FIN_403_Year_Year,0.336485158,0.001791877,NA,0,Temp_logger,1.132173315,976.12475,Temp_logger,18.74,Moisture Probe,-1.7,10.5,-12.9,47.2,16.8,11.2,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
726,120324_Year,Fin_G294,Green,Finland,FIN_403,FIN_403_Year,69.05335612,20.81401386,784,2.024,8,03-08-16,19-06-17,320,Year,0.61331,No,1.708,0.61331,0.640919204,None,Anna-Maria Virkkala,NA,,69.05335612_20.81401386,0.002002873,FIN_403_Year_Year,0.336485158,0.001791877,NA,0,Temp_logger,1.132173315,976.12475,Temp_logger,18.74,Moisture Probe,-1.7,10.5,-12.9,47.2,16.8,11.2,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
727,120324_Year,Fin_G295,Green,Finland,FIN_403,FIN_403_Year,69.05335612,20.81401386,784,2.07,8,03-08-16,21-08-17,383,Year,0.50909,No,1.752,0.50909,0.709423516,None,Anna-Maria Virkkala,NA,,69.05335612_20.81401386,0.001852281,FIN_403_Year_Year,0.336485158,0.001791877,NA,0,Temp_logger,1.132173315,976.12475,Temp_logger,18.74,Moisture Probe,-1.7,10.5,-12.9,47.2,16.8,11.2,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
728,120324_Year,Fin_R255,Rooibos,Finland,FIN_409,FIN_409_Year,69.05601097,20.81326661,676,2.248,8,09-08-16,21-08-17,377,Year,1.45588,No,1.887,1.45588,0.228468468,None,Anna-Maria Virkkala,NA,,69.05601097_20.81326661,0.000606017,FIN_409_Year_Year,0.279937526,0.002746973,NA,0,Temp_logger,1.538735009,1021.223333,Temp_logger,12.58,Moisture Probe,-1.7,10.5,-12.9,47.2,16.8,11.2,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
729,120324_Year,Fin_R225,Rooibos,Finland,FIN_901,FIN_901_Year,69.06189084,20.82657428,659,2.25,8,03-08-16,20-06-17,321,Year,1.55,No,1.889,1.55,0.179460032,None,Anna-Maria Virkkala,NA,,69.06189084_20.82657428,0.000559066,FIN_901_Year_Year,0.280208498,0.001989698,NA,0,Temp_logger,1.385152923,1098.687083,Temp_logger,13.84,Moisture Probe,-2.2,10,-13.3,48.8,17.6,11.4,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
730,120324_Year,Fin_R465,Rooibos,Finland,FIN_409,FIN_409_Year,69.05601097,20.81326661,676,2.225,8,09-08-16,21-08-17,377,Year,1.43892,No,1.865,1.43892,0.228461126,None,Anna-Maria Virkkala,NA,,69.05601097_20.81326661,0.000605998,FIN_409_Year_Year,0.279937526,0.002746973,NA,0,Temp_logger,1.538735009,1021.223333,Temp_logger,12.58,Moisture Probe,-1.7,10.5,-12.9,47.2,16.8,11.2,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
731,120324_Year,Fin_R468,Rooibos,Finland,FIN_409,FIN_409_Year,69.05601097,20.81326661,676,2.215,8,09-08-16,21-08-17,377,Year,1.27661,No,1.856,1.27661,0.312171336,None,Anna-Maria Virkkala,NA,,69.05601097_20.81326661,0.000828041,FIN_409_Year_Year,0.279937526,0.002746973,NA,0,Temp_logger,1.538735009,1021.223333,Temp_logger,12.58,Moisture Probe,-1.7,10.5,-12.9,47.2,16.8,11.2,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
732,120324_Year,Fin_R229,Rooibos,Finland,FIN_901,FIN_901_Year,69.06189084,20.82657428,659,2.265,8,03-08-16,19-08-17,381,Year,1.51743,No,1.903,1.51743,0.202611666,None,Anna-Maria Virkkala,NA,,69.06189084_20.82657428,0.000531789,FIN_901_Year_Year,0.280208498,0.001989698,NA,0,Temp_logger,1.385152923,1098.687083,Temp_logger,13.84,Moisture Probe,-2.2,10,-13.3,48.8,17.6,11.4,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
733,120324_Year,Fin_G221,Green,Finland,FIN_409,FIN_409_Year,69.05601097,20.81326661,676,2.009,8,09-08-16,21-08-17,377,Year,0.64986,No,1.693,0.64986,0.616148848,None,Anna-Maria Virkkala,NA,,69.05601097_20.81326661,0.001634347,FIN_409_Year_Year,0.279937526,0.002746973,NA,0,Temp_logger,1.538735009,1021.223333,Temp_logger,12.58,Moisture Probe,-1.7,10.5,-12.9,47.2,16.8,11.2,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
