Litter ID,Species,Organ,Location,Origin,Initial mass (g),Date of burial,Date of recovery,Litterbag mass,Contents mass,Empty bag mass,Contents mass (2),Mass Loss 1,Mass Loss 2,Average
H15LA(f)10,Lupinus arcticus,Flower,Herschel island,H,0.488,21/07/16,,,,,0,1,1,1
H15LA(f)11,Lupinus arcticus,Flower,Herschel island,H,0.491,21/07/16,12/07/16,2.706,0.275,2.409,0.297,0.44,0.4,0.42
H15LA(f)12,Lupinus arcticus,Flower,Herschel island,H,0.502,21/07/16,12/07/16,2.658,0.287,2.36,0.298,0.43,0.41,0.42
H15LA(f)13,Lupinus arcticus,Flower,Herschel island,H,0.528,21/07/16,12/07/16,2.895,0.316,2.585,0.31,0.4,0.41,0.41
H15LA(f)14,Lupinus arcticus,Flower,Herschel island,H,0.516,21/07/16,12/07/16,2.663,0.274,2.389,0.274,0.47,0.47,0.47
H15LA(f)15,Lupinus arcticus,Flower,Herschel island,H,0.524,21/07/16,12/07/16,2.671,0.277,2.395,0.276,0.47,0.47,0.47
H15LA(f)16,Lupinus arcticus,Flower,Herschel island,H,0.505,21/07/16,12/07/16,2.545,0.202,2.337,0.208,0.6,0.59,0.59
H15LA(f)17,Lupinus arcticus,Flower,Herschel island,H,0.51,21/07/16,12/07/16,2.558,0.215,2.337,0.221,0.58,0.57,0.57
H15LA(f)18,Lupinus arcticus,Flower,Herschel island,H,0.52,21/07/16,12/07/16,2.695,0.235,2.455,0.24,0.55,0.54,0.54
H15LA(f)19,Lupinus arcticus,Flower,Herschel island,H,0.51,21/07/16,12/07/16,2.736,0.246,2.492,0.244,0.52,0.52,0.52
H15LA(f)20,Lupinus arcticus,Flower,Herschel island,H,0.473,21/07/16,12/07/16,2.636,0.249,2.38,0.256,0.47,0.46,0.47
H15CC1,Cetraria cucculata,Leaf,Herschel island,H,0.518,21/07/16,,,,,0,1,1,1
H15CC2,Cetraria cucculata,Leaf,Herschel island,H,0.519,21/07/16,,,,,0,1,1,1
H15CC3,Cetraria cucculata,Leaf,Herschel island,H,0.501,21/07/16,,,,,0,1,1,1
H15CC4,Cetraria cucculata,Leaf,Herschel island,H,0.5,21/07/16,,,,,0,1,1,1
H15CC5,Cetraria cucculata,Leaf,Herschel island,H,0.505,21/07/16,,,,,0,1,1,1
H15CC6,Cetraria cucculata,Leaf,Herschel island,H,0.537,21/07/16,,,,,0,1,1,1
H15CC7,Cetraria cucculata,Leaf,Herschel island,H,0.478,21/07/16,,,,,0,1,1,1
H15CC8,Cetraria cucculata,Leaf,Herschel island,H,0.538,21/07/16,,,,,0,1,1,1
H15CC9,Cetraria cucculata,Leaf,Herschel island,H,0.512,21/07/16,,,,,0,1,1,1
H15CC10,Cetraria cucculata,Leaf,Herschel island,H,0.493,21/07/16,,,,,0,1,1,1
