Litter ID,Species,Replicate,Organ,Location,Origin,Initial mass (g),Date of burial,Date of recovery,Litterbag mass,Contents mass,Empty bag mass,Contents mass (2),Mass Loss 1,Mass Loss 2,Average
K15MA16,Moss A,2,Leaf,Pika/Plateau,Pika camp,0.49,21/08/15,12/08/16,4.459,0.435,4.001,0.458,0.11,0.07,0.09
K15MA17,Moss A,2,Leaf,Pika/Plateau,Pika camp,0.48,21/08/15,12/08/16,4.789,0.456,4.271,0.518,0.05,-0.08,-0.01
K15MA18,Moss A,2,Leaf,Pika/Plateau,Pika camp,0.481,21/08/15,12/08/16,4.869,0.456,4.392,0.477,0.05,0.01,0.03
K15MA19,Moss A,2,Leaf,Pika/Plateau,Pika camp,0.542,21/08/15,12/08/16,4.823,0.499,4.299,0.524,0.08,0.03,0.06
K15MA20,Moss A,2,Leaf,Pika/Plateau,Pika camp,0.503,21/08/15,12/08/16,4.821,0.44,4.355,0.466,0.13,0.07,0.1
K15SL1,Stellaria longipes,1,Leaf,Pika/Plateau,Pika camp,0.506,21/08/15,08/08/17,4.359,0.064,4.268,0.091,87%,82%,0.85
K15SL2,Stellaria longipes,1,Leaf,Pika/Plateau,Pika camp,0.51,21/08/15,08/08/17,4.135,0.079,4.03,0.105,85%,79%,0.82
K15SL3,Stellaria longipes,1,Leaf,Pika/Plateau,Pika camp,0.507,21/08/15,08/08/17,4.17,0.105,4.022,0.148,79%,71%,0.75
K15SL4,Stellaria longipes,1,Leaf,Pika/Plateau,Pika camp,0.5,21/08/15,08/08/17,4.16,0.14,3.979,0.181,72%,64%,0.68
K15SL5,Stellaria longipes,1,Leaf,Pika/Plateau,Pika camp,0.513,21/08/15,08/08/17,4.201,0.125,4.066,0.135,76%,74%,0.75
K15SL6,Stellaria longipes,2,Leaf,Pika/Plateau,Pika camp,0.497,21/08/15,08/08/17,4.124,0.107,3.991,0.133,78%,73%,0.76
K15SL7,Stellaria longipes,2,Leaf,Pika/Plateau,Pika camp,0.517,21/08/15,08/08/17,3.986,0.119,3.846,0.14,77%,73%,0.75
K15SL8,Stellaria longipes,2,Leaf,Pika/Plateau,Pika camp,0.5,21/08/15,08/08/17,4.235,0.11,4.102,0.133,78%,73%,0.76
K15SL9,Stellaria longipes,2,Leaf,Pika/Plateau,Pika camp,0.525,21/08/15,08/08/17,4.345,0.138,4.187,0.158,74%,70%,0.72
K15SL10,Stellaria longipes,2,Leaf,Pika/Plateau,Pika camp,0.533,21/08/15,08/08/17,4.291,0.158,4.118,0.173,70%,68%,0.69
K15SL11,Stellaria longipes,1,Leaf,Pika/Plateau,Pika camp,0.491,21/08/15,12/08/16,4.042,0.163,3.862,0.18,0.67,0.63,0.65
K15SL12,Stellaria longipes,1,Leaf,Pika/Plateau,Pika camp,0.529,21/08/15,12/08/16,4.364,0.141,4.199,0.165,0.73,0.69,0.71
K15SL13,Stellaria longipes,1,Leaf,Pika/Plateau,Pika camp,0.532,21/08/15,12/08/16,4.386,0.154,4.193,0.193,0.71,0.64,0.67
K15SL14,Stellaria longipes,1,Leaf,Pika/Plateau,Pika camp,0.486,21/08/15,12/08/16,4.497,0.161,4.272,0.225,0.67,0.54,0.6
K15SL15,Stellaria longipes,1,Leaf,Pika/Plateau,Pika camp,0.519,21/08/15,12/08/16,4.484,0.248,4.192,0.292,0.52,0.44,0.48
K15SL16,Stellaria longipes,2,Leaf,Pika/Plateau,Pika camp,0.483,21/08/15,12/08/16,4.318,0.136,4.16,0.158,0.72,0.67,0.7
K15SL17,Stellaria longipes,2,Leaf,Pika/Plateau,Pika camp,0.584,21/08/15,12/08/16,4.273,0.158,4.1,0.173,0.73,0.7,0.72
K15SL18,Stellaria longipes,2,Leaf,Pika/Plateau,Pika camp,0.488,21/08/15,12/08/16,4.318,0.144,4.133,0.185,0.7,0.62,0.66
K15SL19,Stellaria longipes,2,Leaf,Pika/Plateau,Pika camp,0.485,21/08/15,12/08/16,4.257,0.145,4.089,0.168,0.7,0.65,0.68
